1,"How do I get a Barangay Clearance?","Visit the barangay office with a valid ID and fill out the application form. Processing is usually same-day for complete requirements.","barangay clearance,clearance,how to get clearance,kuha clearance,certificate of residency,document request,office requirements",1,1
2,"What are the requirements for Barangay Clearance?","Prepare one valid government ID, proof of residency, and payment for processing fees if applicable.","requirements for barangay clearance,clearance requirements,valid id,proof of residency,processing fee,documents needed,mga requirements",1,1
3,"How can I request a Barangay Certificate?","Go to the barangay office, state the certificate purpose, and submit required identification.","barangay certificate,request certificate,certificate request,purpose of certificate,certificate application,certificate form",1,2
4,"How long does certificate processing take?","Most standard certificates are released within the day, depending on queue and verification.","processing time,release date,same day processing,certificate release,gaano katagal,turnaround time",1,2
5,"How do I update my resident information?","You can request an update at the barangay office and bring supporting documents for the fields to be changed.","update resident information,edit resident profile,change resident details,update records,personal info update,record correction",1,3
6,"Can I check if I am listed as an active resident?","Yes. You may inquire at the barangay office or ask staff to verify your resident status in the system.","active resident,resident status,verify resident,resident verification,check resident listing,registered resident",1,3
7,"Who can I contact for pregnancy monitoring concerns?","Please contact the assigned BHW or visit the health desk at the barangay office for proper guidance and scheduling.","pregnancy monitoring,bhw contact,maternal health,prenatal checkup,health desk,pregnancy concern",1,4
8,"How are senior citizen reports maintained?","Senior citizen reports are maintained by barangay health workers and updated based on health and household visits.","senior citizen report,elderly report,bhw reports,health monitoring report,report updates,senior health records",1,4
9,"How do I find my precinct number?","You can check your voter details in the residents section or ask staff to verify your assigned precinct.","precinct number,voter precinct,find precinct,check precinct,voter details,polling precinct",1,5
10,"Why is my name missing from voters report?","Your record may be incomplete or inactive. Please update your voters ID and precinct details at the barangay office.","missing in voters report,missing voter name,inactive voter,voters id update,precinct update,not listed voter",1,5
11,"How do I check my household profile?","You can view household records through the Household Report in the dashboard. If you need to confirm the household head, members, or address details, you may also ask the barangay office for assistance.","check my household profile,household profile,check household,household records,household report,household head,household members,family profile",1,6
